,index,freq,total,organism,time,hamster,dummy,dose,total_log10
369,cDC,0.008403361344537815,23109.24369747899,Dwarfhamster,D0,3,Dwarfhamster_D0_no dose,no dose,4.363785732437732
370,AT1,0.005042016806722689,13865.546218487396,Dwarfhamster,D0,3,Dwarfhamster_D0_no dose,no dose,4.141936982821376
371,Platelets,0.004481792717086834,12324.929971988795,Dwarfhamster,D0,3,Dwarfhamster_D0_no dose,no dose,4.090784460373994
372,Ciliated,0.00392156862745098,10784.313725490196,Dwarfhamster,D0,3,Dwarfhamster_D0_no dose,no dose,4.032792513396307
373,Erythrocytes,0.00392156862745098,10784.313725490196,Dwarfhamster,D0,3,Dwarfhamster_D0_no dose,no dose,4.032792513396307
374,Fibroblasts,0.0033613445378151263,9243.697478991597,Dwarfhamster,D0,3,Dwarfhamster_D0_no dose,no dose,3.9658457237656943
375,Mast cells,0.0011204481792717086,3081.2324929971987,Dwarfhamster,D0,3,Dwarfhamster_D0_no dose,no dose,3.4887244690460317
376,pDC,0.0011204481792717086,3081.2324929971987,Dwarfhamster,D0,3,Dwarfhamster_D0_no dose,no dose,3.4887244690460317
377,Neutrophils,0.22137150466045272,630908.7882822902,Dwarfhamster,D2,1,Dwarfhamster_D2_low dose,low dose,5.799966576979484
378,Endothelial cells,0.17376830892143807,495239.6804260985,Dwarfhamster,D2,1,Dwarfhamster_D2_low dose,low dose,5.694815434678642
379,Bcells,0.14247669773635152,406058.58854860184,Dwarfhamster,D2,1,Dwarfhamster_D2_low dose,low dose,5.608588700689552
380,T cells,0.11651131824234354,332057.2569906791,Dwarfhamster,D2,1,Dwarfhamster_D2_low dose,low dose,5.521212976026655
381,Treml4+Macrophages,0.06724367509986684,191644.4740346205,Dwarfhamster,D2,1,Dwarfhamster_D2_low dose,low dose,5.282496301123003
382,AT2,0.05226364846870839,148951.3981358189,Dwarfhamster,D2,1,Dwarfhamster_D2_low dose,low dose,5.173044584085613
383,AlveolarMacrophages,0.044274300932090546,126181.75765645805,Dwarfhamster,D2,1,Dwarfhamster_D2_low dose,low dose,5.100996572643465
384,NK cells,0.03495339547270306,99617.17709720373,Dwarfhamster,D2,1,Dwarfhamster_D2_low dose,low dose,4.998334230746318
385,MonocyticMacrophages,0.03062583222370173,87283.62183754993,Dwarfhamster,D2,1,Dwarfhamster_D2_low dose,low dose,4.940932759021934
386,Myofibroblast,0.02030625832223702,57872.8362183755,Dwarfhamster,D2,1,Dwarfhamster_D2_low dose,low dose,4.762474766687147
387,InterstitialMacrophages,0.019640479360852198,55975.36617842876,Dwarfhamster,D2,1,Dwarfhamster_D2_low dose,low dose,4.747996943318523
388,AT1,0.013648468708388815,38898.13581890812,Dwarfhamster,D2,1,Dwarfhamster_D2_low dose,low dose,4.589928788396115
389,SmoothMuscle,0.011318242343541944,32256.990679094542,Dwarfhamster,D2,1,Dwarfhamster_D2_low dose,low dose,4.508623848718635
390,Mast cells,0.009653794940079893,27513.315579227696,Dwarfhamster,D2,1,Dwarfhamster_D2_low dose,low dose,4.439542929575335
391,Erythrocytes,0.008322237017310254,23718.375499334223,Dwarfhamster,D2,1,Dwarfhamster_D2_low dose,low dose,4.375084940348417
392,Plasma cells,0.007656458055925432,21820.905459387483,Dwarfhamster,D2,1,Dwarfhamster_D2_low dose,low dose,4.338872767693973
393,Platelets,0.007656458055925432,21820.905459387483,Dwarfhamster,D2,1,Dwarfhamster_D2_low dose,low dose,4.338872767693973
394,cDC,0.004993342210386152,14231.025299600533,Dwarfhamster,D2,1,Dwarfhamster_D2_low dose,low dose,4.153236190732061
395,pDC,0.004660452729693742,13282.290279627165,Dwarfhamster,D2,1,Dwarfhamster_D2_low dose,low dose,4.123272967354618
396,Ciliated,0.0036617842876165113,10436.085219707058,Dwarfhamster,D2,1,Dwarfhamster_D2_low dose,low dose,4.018537616834604
397,ILC2,0.003328894806924101,9487.350199733688,Dwarfhamster,D2,1,Dwarfhamster_D2_low dose,low dose,3.9771449316763796
398,Fibroblasts,0.0016644474034620505,4743.675099866844,Dwarfhamster,D2,1,Dwarfhamster_D2_low dose,low dose,3.6761149360123984
399,Bcells,0.2621951219512195,681707.3170731708,Dwarfhamster,D2,2,Dwarfhamster_D2_low dose,low dose,5.833597955502706
400,T cells,0.21747967479674796,565447.1544715447,Dwarfhamster,D2,2,Dwarfhamster_D2_low dose,low dose,5.752392022888667
401,Neutrophils,0.10894308943089431,283252.0325203252,Dwarfhamster,D2,2,Dwarfhamster_D2_low dose,low dose,5.452173034896227
402,Endothelial cells,0.10325203252032521,268455.2845528455,Dwarfhamster,D2,2,Dwarfhamster_D2_low dose,low dose,5.4288719574873765
403,Treml4+Macrophages,0.0951219512195122,247317.07317073172,Dwarfhamster,D2,2,Dwarfhamster_D2_low dose,low dose,5.393254098277581
404,NK cells,0.038211382113821135,99349.59349593495,Dwarfhamster,D2,2,Dwarfhamster_D2_low dose,low dose,4.997166094467137
405,AT2,0.03170731707317073,82439.02439024391,Dwarfhamster,D2,2,Dwarfhamster_D2_low dose,low dose,4.91613284355792
406,AlveolarMacrophages,0.03048780487804878,79268.29268292683,Dwarfhamster,D2,2,Dwarfhamster_D2_low dose,low dose,4.899099504259139
407,MonocyticMacrophages,0.025203252032520326,65528.455284552845,Dwarfhamster,D2,2,Dwarfhamster_D2_low dose,low dose,4.816429930365692
408,Mast cells,0.022764227642276424,59186.991869918704,Dwarfhamster,D2,2,Dwarfhamster_D2_low dose,low dose,4.77222626787364
